id,date,expo,side,condition
fe291f82b2024e2f8b0c349d7cbb2f2c,2019-05-15 19:37:00,MSW,left,AVAS
2d49824ea43f4abba28d58221db56bef,2019-05-15 20:04:00,MSW,right,RadioTalk
46bfabc41848449fb7faba0f6c23199e,2019-05-15 20:09:00,MSW,left,RadioTalk
a1ae19404b3f4014984a57abaf35c476,2019-05-16 10:06:00,MSW,right,TaxiDriver
d0fdb873f86d49a8953554752a6bdd51,2019-05-16 10:06:00,MSW,left,TaxiDriver
5c7d6067117b4d36a975947ff23f04c2,2019-05-16 10:08:00,MSW,right,TaxiDriver
54171fccc5b3458f947b73871217128f,2019-05-16 10:09:00,MSW,left,AVAS
18881d3ec46e4a34bf3d1ff80de5109a,2019-05-16 10:11:00,MSW,left,AVAS
32756ff0fe8f449a8cd17e2dfd54c1ad,2019-05-16 10:11:00,MSW,right,RadioTalk
a24bf755207e4d4f97a97588f90d11d3,2019-05-16 10:14:00,MSW,left,TaxiDriver
c0dc2be966224299a2cbd4afe2a7a26f,2019-05-16 10:14:00,MSW,right,AVAS
c03943455be84e538c0407a38493bdf9,2019-05-16 10:17:00,MSW,left,RadioTalk
46d38cc7003c449ba90edb88a23ebf3d,2019-05-16 10:17:00,MSW,right,RadioTalk
c2f38218f14d499ba2b141b920d12edd,2019-05-16 10:20:00,MSW,left,RadioTalk
1a6e71cebb424393adb4732916202afd,2019-05-16 10:20:00,MSW,right,AVAS
ee0b9b2ae9854d8c91dbb9d64cbdbd58,2019-05-16 10:22:00,MSW,right,TaxiDriver
0789bd6d21d14d54bb9d974524fa1bf6,2019-05-16 10:23:00,MSW,left,TaxiDriver
90217d49cedb4da492e807e30e89137c,2019-05-16 10:25:00,MSW,right,AVAS
a44c75e916e049d29a6236be3324536e,2019-05-16 10:26:00,MSW,left,RadioTalk
f5a58da8a35b4c2a863ae7aacc90e341,2019-05-16 10:29:00,MSW,left,RadioTalk
649ac30a570642048675ea0d6a57edf7,2019-05-16 10:31:00,MSW,right,RadioTalk
06bada6bb8314630b98636e5bb7d9dbb,2019-05-16 10:34:00,MSW,left,AVAS
5e8629aff5dd4840971e0c4cd0ff88cc,2019-05-16 10:34:00,MSW,right,RadioTalk
4f5690f6fe624e31b0a0e99d5f9c4450,2019-05-16 10:37:00,MSW,left,RadioTalk
9b384ab2ab854cd99b3c0dcc29e112a1,2019-05-16 10:39:00,MSW,right,RadioTalk
3bc71c04d09040a2825e7eecd47f3eff,2019-05-16 10:40:00,MSW,left,AVAS
698bf5b232c14670a99f4c094cb07e23,2019-05-16 10:42:00,MSW,left,AVAS
53c9ed8c361c4cc4a776dbf8155cf5e0,2019-05-16 10:43:00,MSW,right,TaxiDriver
8db729b2ef8c4a8693015b4c600aebfe,2019-05-16 10:45:00,MSW,left,AVAS
c625d28b0a2d45eeaa5532a9370c6e67,2019-05-16 10:45:00,MSW,right,RadioTalk
d7683283f0024df5b4f9b4855b29089e,2019-05-16 10:49:00,MSW,left,RadioTalk
6f84cb4618e044d8a71c1e0fddf49e2a,2019-05-16 10:49:00,MSW,right,RadioTalk
9b83c1f3d1c942b6949191b8ac3acd34,2019-05-16 10:51:00,MSW,right,AVAS
42136fd6c90d4bfcb8cc7829b7f79808,2019-05-16 10:52:00,MSW,left,TaxiDriver
980429ee30fe44ac96d3dcd89229c751,2019-05-16 10:54:00,MSW,right,RadioTalk
55b9a3f32df340cc86f03d13bad8e6da,2019-05-16 10:56:00,MSW,right,AVAS
18d90b28790d4b7286eb0c73b666fd92,2019-05-16 10:56:00,MSW,left,TaxiDriver
104da7d074ef4e3bb33b0c99446169cc,2019-05-16 10:59:00,MSW,right,AVAS
9901ca8064514ad596ce6290ada06724,2019-05-16 10:59:00,MSW,left,AVAS
af6d9629229c4482bf24f85f9afd3919,2019-05-16 11:02:00,MSW,right,RadioTalk
9d37908183e84199806aaf4c8824643d,2019-05-16 11:02:00,MSW,left,RadioTalk
9b324b3235a14f3b98b02ce36b395969,2019-05-16 11:04:00,MSW,left,AVAS
2a67d28355a24ee6b413851a22ff0719,2019-05-16 11:06:00,MSW,right,RadioTalk
57efb6c349a04aaea9d3c4a2df2a636a,2019-05-16 11:08:00,MSW,left,RadioTalk
e765e803b461449bafe2f70f7481d861,2019-05-16 11:08:00,MSW,right,TaxiDriver
d3cd11ef93514216b5a010ad2101fea7,2019-05-16 11:11:00,MSW,right,TaxiDriver
39afc094e09041618e4c36915b26f768,2019-05-16 11:15:00,MSW,right,RadioTalk
8b7e286d9016489c9909168c0c4c0a20,2019-05-16 11:15:00,MSW,left,AVAS
07867f84065e44b39e7ba79ce8598fc7,2019-05-16 11:18:00,MSW,right,RadioTalk
610b37287dc24341a60d3ccdf6295827,2019-05-16 11:18:00,MSW,left,RadioTalk
6d67dbea0bd3410c90d76f06d1a0b64a,2019-05-16 11:21:00,MSW,right,TaxiDriver
ee63529ee1a74dfd968a69ca369163bc,2019-05-16 11:21:00,MSW,left,RadioTalk
3c0d0edb220240e5b1c9bf3ecfb37988,2019-05-16 11:24:00,MSW,right,AVAS
00803609c3074d37bc3fa9190c2aa256,2019-05-16 11:24:00,MSW,left,TaxiDriver
706ece9f26dd42d7b4eb993c7fba33ef,2019-05-16 11:26:00,MSW,right,RadioTalk
ce16b00117e446429201d9b3ad45c73b,2019-05-16 11:27:00,MSW,left,TaxiDriver
fe3add9230c54bf9a36aeb8a151f76e6,2019-05-16 11:29:00,MSW,right,AVAS
8d8e6480c89e427f890202c535255b56,2019-05-16 11:30:00,MSW,left,TaxiDriver
b1249d93f2a44db88c5d649f1d42ad78,2019-05-16 11:32:00,MSW,left,AVAS
4a81013077fc458f8b22ea3c9cc686fa,2019-05-16 11:32:00,MSW,right,TaxiDriver
2929fc2d55ea42e5a02052824e66e605,2019-05-16 11:35:00,MSW,right,AVAS
31454ccf68f14685a52aff9da42d89b3,2019-05-16 11:35:00,MSW,left,TaxiDriver
3cbaeba0e5a449b6bff0ce6f0963b601,2019-05-16 11:38:00,MSW,right,AVAS
b097489dd2574b41b8d9fda729a19801,2019-05-16 11:38:00,MSW,left,RadioTalk
d5dc0dc4049e4a2eb50131ce8b11c23b,2019-05-16 11:41:00,MSW,right,TaxiDriver
d2e5ea6144d14dc5b994e32bd98f465e,2019-05-16 11:41:00,MSW,left,TaxiDriver
7c30fdbf4f8b427e8603cb531bff12d5,2019-05-16 11:43:00,MSW,right,AVAS
d1fd9b791d6841d38fdcc41c4879a1d8,2019-05-16 11:44:00,MSW,left,RadioTalk
eca1f08e3fbf437db61e11951aa14eec,2019-05-16 11:46:00,MSW,right,TaxiDriver
15587d7fec0c4599bdd8f4a180e94aab,2019-05-16 11:46:00,MSW,left,TaxiDriver
b304b224633a41eb89584c0fd25511cb,2019-05-16 11:49:00,MSW,left,RadioTalk
73050ac5b1d542648afd8103277fff66,2019-05-16 11:49:00,MSW,right,AVAS
a12406ee83004ee099a29cbf72afbb53,2019-05-16 11:52:00,MSW,left,AVAS
6b666ad331bb4f42a28f3556fcab3ebe,2019-05-16 11:53:00,MSW,right,RadioTalk
2f9eb3271fc84c20a9d56d016304b3ac,2019-05-16 11:54:00,MSW,left,TaxiDriver
4faa91742672407da1b0059bef40ee87,2019-05-16 11:55:00,MSW,right,TaxiDriver
a95db2d0a3ff4aeebd69ac214b75c002,2019-05-16 11:58:00,MSW,left,RadioTalk
265b57b2034c4107ad22328647e965b3,2019-05-16 12:01:00,MSW,left,AVAS
0ae4ee2510cb4e00a69e73ec4825214e,2019-05-16 12:02:00,MSW,right,RadioTalk
06682f3d90b24f2ca0728cf31001612f,2019-05-16 12:03:00,MSW,left,TaxiDriver
50228d3e5a2b4116850c9a4dcdb8e856,2019-05-16 12:06:00,MSW,right,TaxiDriver
5dbb258de5f44c8ca595c61e405f298d,2019-05-16 12:07:00,MSW,left,AVAS
ea73fab8e0ac4124857e0eddd3b67c5f,2019-05-16 12:10:00,MSW,left,RadioTalk
fe3765d2b494443d8b21e379668ddc48,2019-05-16 12:12:00,MSW,right,TaxiDriver
c96f7bc4c0c5430a84a7f07f3f0114ed,2019-05-16 12:17:00,MSW,right,RadioTalk
0aca2459ae514d98862436ad22cb496e,2019-05-16 12:18:00,MSW,left,RadioTalk
3ce5f0162a634f9ebc33324ad21ec777,2019-05-16 12:23:00,MSW,right,AVAS
0007826f6d5a4bc8a4bf504f0f53a69f,2019-05-16 12:24:00,MSW,left,TaxiDriver
e9692d2a54bb43e2af5522fd5aaae894,2019-05-16 12:34:00,MSW,left,TaxiDriver
470fe32e3dde48efbb4d4c0bde8a53cf,2019-05-16 12:35:00,MSW,right,TaxiDriver
044833099e844b2288724ba68b333e59,2019-05-16 12:38:00,MSW,right,TaxiDriver
43dfd05246c347dd9d8fd91f55f8157b,2019-05-16 12:39:00,MSW,left,AVAS
9ee34cb7013e4dff86c2d891c3289f9a,2019-05-16 12:42:00,MSW,right,TaxiDriver
8eb4518754ee45b0b632e02a79fa8c82,2019-05-16 12:44:00,MSW,right,RadioTalk
