id,created,expo,side
8230217a686f43c7a1d4bcf2b0406ea8,13.11.2019 11:39,BMBF,left
784f299bb7ae44fd9fcd57ec2574e53a,13.11.2019 14:16,BMBF,left
1835a32994c847db8d4d16c5dff0cd37,13.11.2019 14:38,BMBF,left
890a1801bde842c98219e4a0cae1a66e,14.07.2019 19:40,BMBF,left
388fb2f8af11429ca9bda3438a046685,14.10.2019 10:30,BMBF,left
3a2a83fa4bc3427c8a74ea949836aa9a,14.10.2019 10:33,BMBF,left
9600ebad5fb2415a9be11d7e4828e786,14.10.2019 10:40,BMBF,left
4d0bde9ded71494ab845200370fa2a1d,14.10.2019 13:28,BMBF,left
dc9fbaca3f40410eb7d051d25b568eac,14.10.2019 13:44,BMBF,left
9f6237059e494d14841e4cd376223584,14.10.2019 13:47,BMBF,left
a4d64f8dd1404d40a8ac5966f9865649,14.10.2019 13:56,BMBF,left
1ac4218d70e74ae6a69c10c0ffcc7dc0,14.10.2019 14:54,BMBF,left
fb15e1c02d0f44bd84ae9b80f1168a85,14.11.2019 09:08,BMBF,left
000506554eb6453f94b51947d824731c,14.11.2019 09:11,BMBF,left
3300dab5c9dd4f32b3fd1810dc572e18,14.11.2019 13:00,BMBF,left
b1852cec9d844eec8ff92db322547d2c,14.11.2019 14:35,BMBF,left
0f2595e6aac340c590a0777abefa3926,14.11.2019 16:08,BMBF,left
443966c595574bb5848ce9b4c925178d,14.11.2019 16:32,BMBF,left
ceb7019adf984c7181d142c64b076080,15.07.2019 13:30,BMBF,left
174153fa8af94559872724e330677d76,15.07.2019 14:34,BMBF,left
2c54ff851c9349d7b1b63ea88299b8c6,15.07.2019 14:37,BMBF,left
bbe12bb2adc94201b499acc0f35480ce,15.08.2019 08:41,BMBF,left
4d5d0e0ae5ac4f5492bbf91d3f76c790,15.08.2019 08:46,BMBF,left
1ced38f0b2ab4010a7e268a4d65f0c6e,15.08.2019 10:12,BMBF,left
b649b0513050416795e73d7de8336e2c,15.08.2019 10:15,BMBF,left
9a5f8ea59d67442ba26877b4196a2809,15.08.2019 10:17,BMBF,left
c8890585a32d4663811016e09dbb415d,15.08.2019 11:41,BMBF,left
18675983720f4d8d995bc28c8bce98c3,15.10.2019 08:01,BMBF,left
9f8f3db3a38b46b8931b4eed23c05616,15.10.2019 08:23,BMBF,left
f77a9100581247a0be252ff795487795,15.10.2019 08:28,BMBF,left
96f2d937fe4d4bd0a4845a81863905be,15.10.2019 08:35,BMBF,left
b7ae07672704456696916c25861acbfa,15.10.2019 11:04,BMBF,left
355ed067644447938b5a12fa3ed37ac6,15.10.2019 11:07,BMBF,left
c471a14d0247405ab855d13ea17e8f4b,15.10.2019 11:59,BMBF,left
1ac002f2a61b4d78a59bc42511dde4ca,15.10.2019 13:22,BMBF,left
685bca4fac8d4393abe4f1cd88153001,15.10.2019 13:38,BMBF,left
3b04b34da13a4fd3b74f59fa63e35e5b,15.10.2019 13:50,BMBF,left
f7a83627d1b740eb87e2577570adf010,15.10.2019 14:37,BMBF,left
8ff37e4be3dc4b85b67a6b8229c0290f,15.10.2019 15:26,BMBF,left
58f6922808dc4a8e8ceb25b8e0777814,15.10.2019 15:36,BMBF,left
ee3f7687db2748fb8feb30f59960ec93,15.10.2019 16:20,BMBF,left
03d01581dd104d258b1a818016e09382,15.10.2019 16:24,BMBF,left
bea5186cfea54af0b8bfac91459fbe4f,15.10.2019 16:26,BMBF,left
0e2ceafbd6344978b8140c9232357ad1,15.10.2019 16:29,BMBF,left
18add4188ecb44648c0a9ce47e0d3080,15.10.2019 16:31,BMBF,left
b5ed7430958a46c79e0e71b7b7027ca4,15.10.2019 16:34,BMBF,left
1b7aec5c5cf240e2b5bc23c05ee228a6,15.10.2019 16:37,BMBF,left
b198b44e47a24b5487a25975a1b8bbc0,15.10.2019 16:46,BMBF,left
d6a4dd7a539d43999094732fb75abd68,15.10.2019 16:49,BMBF,left
caab39e74001417dbbe466135a04e180,15.10.2019 17:06,BMBF,left
fee2ce62a8ef4d59b25f20c107974b53,15.10.2019 17:08,BMBF,left
31618e53e7f748908bcc04102fa3e8dc,15.10.2019 17:36,BMBF,left
9467293ac55f4ee9b9769bc9723dec30,15.11.2019 10:24,BMBF,left
3bdc66edfb0941ab873e494b0dfef413,15.11.2019 15:18,BMBF,left
14d8df525a544856822896a9d6247524,16.08.2019 10:55,BMBF,left
12af8b84c754473eaabea60b54923edc,16.08.2019 16:21,BMBF,left
