id,condition,2std,1std
8e78223c120d486887505baefcaf2f10,RadioTalk,False,False
130b9b42f2624a968f74e9629d56d264,AVAS,False,False
33bf601d45c34040a98b2e25f30df78a,TaxiDriver,False,False
fe68851680c5456ba94de1d9eeab44c9,AVAS,False,False
380a5bcb05754fe9bba24af8e17eba31,RadioTalk,False,False
9ea7122d225b4806b56a6fb2f9eb2287,TaxiDriver,False,False
0aaded55085943689e7de95d16d8d4af,TaxiDriver,False,False
a5c0c22d28fe47fcbc1d44e259f0da5d,AVAS,False,False
d730d5052cca49fb944c41dc78472eea,AVAS,False,False
ba8a8fc0975649fa9078c0fac03474f1,RadioTalk,False,False
9ba1b73f435b45ce9ed44666da5fa16d,RadioTalk,False,False
8d160cae4d0147449ad613051ecae1ad,TaxiDriver,True,True
385665d093e4406393dda53410595751,RadioTalk,False,False
369f8cb32650447b875e2eb413b53deb,RadioTalk,False,False
a7bb4e9915fb4df688eca37af4e4fcd3,RadioTalk,False,False
8efdf9deeae34521bb1963a5ab7ed4a3,RadioTalk,True,True
5f5b802efdc342ada7c68f0a750e5bb2,TaxiDriver,False,False
4904a62c3fa842769a8bfc591f16b36b,AVAS,True,True
912fb21e0a6a4d19a15e4fe0b2848a53,RadioTalk,False,False
1b9a413489354b5ab59e9d23b33a5b66,TaxiDriver,False,False
c7bf3f2d2a3c412a88e4af0ba25e04e3,RadioTalk,False,False
c7a839a8f549409f93e67b47531be84b,RadioTalk,False,False
aebbd97c195841f0a00509386eb93d9b,RadioTalk,False,False
21bc4970a9cd45a2b6e564e8b3916b8c,TaxiDriver,False,False
c28b31d2dc224b698c79f54feeb8cabb,TaxiDriver,False,False
31aca05f223040e39a3c4283f6a8f04b,AVAS,False,False
03bd22ccea0c446e902c69f1632a6ed8,RadioTalk,False,False
65ab6822b6394ba28a4850e3da6334bf,TaxiDriver,False,False
c1a0d3a33aa44b67842ec6b9cbf0c72a,RadioTalk,False,False
f6137e1aff5c40a7b65ee4321f261889,AVAS,True,True
6583512f577e4c9790aa476dcb5d15b3,RadioTalk,False,False
9516c6137a1f49a1b15c9692a93c3a96,TaxiDriver,False,False
88a2b89f9fe44d649213ea8a5ec121b8,AVAS,False,False
d2b31837f9244233b324af7931c84a4d,RadioTalk,False,False
38a3a3d98c2741dfba03b0ada1002e10,AVAS,False,False
4aabcdd7ca7746d381018b357c6f4e14,AVAS,True,True
78fc25e4c3a344d0a1524ece3dd9e082,RadioTalk,False,False
9557fb28fd81442a81c52a51cb6ea545,TaxiDriver,False,False
72e68510a60d4b048d9cd0d9175d0020,RadioTalk,False,False
f6d9df95fc714765909c06257a592c5d,AVAS,False,False
c9c98cc541c74b98b702d07a9a09cce0,AVAS,False,False
d41c12e2f70a47baa6c78c301ff817fe,TaxiDriver,False,False
e82fdcddcb7f4ec3b68d8c7c051efe27,AVAS,False,False
fc7955834c9a4606aab9c9a993b3ab62,RadioTalk,False,False
543e5f73fc4a43e885e09eb22a789ffc,TaxiDriver,False,True
fa2bba346e974a138dc14f375eb2d527,TaxiDriver,False,True
a92c5d62bb424529b5c894c4aabba1e3,TaxiDriver,False,False
8203bdbf236d4be18916510bde50c1de,TaxiDriver,False,False
87dc70242fe24f7898a8649440715496,RadioTalk,False,False
5bac2033da3c41ff9d442179bfe3e80c,TaxiDriver,False,False
5a53e96fb21246928e8db79e7121fd56,RadioTalk,False,False
dc85101ecc2347feae631feb0c91d7fe,AVAS,False,False
c7e7aaa1c1b14dbaad3ce5c5a11706a3,RadioTalk,False,False
24d8992be90a4260ada6b0f11d6f387e,RadioTalk,True,True
8269b9fd41be4cc99f5f58eb73520361,TaxiDriver,False,True
bc6ddd4bcabf47e49440efe417a2e640,TaxiDriver,False,False
9f1c26d50a2f4d90b517b6e6b11e1abf,RadioTalk,False,False
9127f8b79678462ebb472453b30b1c95,AVAS,False,False
c1a7221f8bdb41298000b5f547a174fc,RadioTalk,False,True
e67a270c38ee44caa8fc29ecf905eccd,RadioTalk,False,False
27002966a5944e3cb7e3a9d6882fa82a,RadioTalk,False,False
22ae8cd8e33a4d15bdea8afd5eb35d15,TaxiDriver,False,False
e644012fccf94c8589d204ed29cd23f7,AVAS,False,False
